rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'HIGHMEM'
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578990] [HIGHMEM]: array[202] = [202]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578991] [HIGHMEM]: array[203] = [203]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578991] [HIGHMEM]: array[204] = [204]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578991] [HIGHMEM]: array[205] = [205]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578991] [HIGHMEM]: array[206] = [206]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578992] [HIGHMEM]: array[207] = [207]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578992] [HIGHMEM]: array[208] = [208]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578992] [HIGHMEM]: array[209] = [209]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578993] [HIGHMEM]: array[210] = [210]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578993] [HIGHMEM]: array[211] = [211]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578993] [HIGHMEM]: array[212] = [212]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578994] [HIGHMEM]: array[213] = [213]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578994] [HIGHMEM]: array[214] = [214]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578994] [HIGHMEM]: array[215] = [215]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578995] [HIGHMEM]: array[216] = [216]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578995] [HIGHMEM]: array[217] = [217]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578995] [HIGHMEM]: array[218] = [218]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578996] [HIGHMEM]: array[219] = [219]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578996] [HIGHMEM]: array[220] = [220]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578996] [HIGHMEM]: array[221] = [221]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578997] [HIGHMEM]: array[222] = [222]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578997] [HIGHMEM]: array[223] = [223]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578997] [HIGHMEM]: array[224] = [224]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578998] [HIGHMEM]: array[225] = [225]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578998] [HIGHMEM]: array[226] = [226]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578998] [HIGHMEM]: array[227] = [227]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578999] [HIGHMEM]: array[228] = [228]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578999] [HIGHMEM]: array[229] = [229]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578999] [HIGHMEM]: array[230] = [230]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579000] [HIGHMEM]: array[231] = [231]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579000] [HIGHMEM]: array[232] = [232]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579000] [HIGHMEM]: array[233] = [233]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579001] [HIGHMEM]: array[234] = [234]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579001] [HIGHMEM]: array[235] = [235]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579001] [HIGHMEM]: array[236] = [236]
